time,observed_temperature,forecast_temperature,humidity,pressure,wind_speed
2026-01-04 11:00:00,16.57,19.03,66.0,1015.8,2.9
2026-01-04 12:00:00,17.43,18.41,72.4,1016.0,2.57
2026-01-04 13:00:00,18.42,19.64,62.8,1016.3,5.21
2026-01-04 14:00:00,19.91,22.86,52.5,1017.0,4.63
2026-01-04 15:00:00,19.39,22.37,58.4,1016.4,0.94
2026-01-04 16:00:00,18.27,21.3,55.7,1018.2,6.69
2026-01-04 17:00:00,18.33,21.4,63.3,1016.1,6.45
2026-01-04 18:00:00,16.93,19.57,67.2,1016.8,1.44
2026-01-04 19:00:00,16.36,18.32,76.3,1016.5,3.99
2026-01-04 20:00:00,13.66,15.97,73.6,1018.4,4.24
2026-01-04 21:00:00,12.6,14.14,72.5,1017.1,3.65
2026-01-04 22:00:00,11.29,13.47,79.7,1017.8,1.62
2026-01-04 23:00:00,9.39,10.5,67.4,1015.1,1.32
2026-01-05 00:00:00,10.04,10.36,78.6,1016.7,2.94
2026-01-05 01:00:00,9.61,9.87,81.9,1017.2,5.93
2026-01-05 02:00:00,9.4,9.78,71.0,1016.1,4.36
2026-01-05 03:00:00,9.6,9.16,83.8,1016.9,2.07
2026-01-05 04:00:00,9.45,8.71,80.0,1015.1,4.93
2026-01-05 05:00:00,11.39,11.23,73.3,1016.7,4.12
2026-01-05 06:00:00,12.87,12.77,76.4,1017.3,5.87
2026-01-05 07:00:00,14.13,13.73,82.7,1014.3,1.35
2026-01-05 08:00:00,16.37,16.23,68.9,1013.9,2.09
2026-01-05 09:00:00,18.54,19.13,65.9,1015.5,0.2
2026-01-05 10:00:00,21.34,21.28,58.2,1015.3,0.24
2026-01-05 11:00:00,21.36,21.72,56.2,1012.8,5.9
2026-01-05 12:00:00,22.52,23.68,62.9,1012.6,1.83
2026-01-05 13:00:00,22.99,24.81,53.7,1012.4,3.87
2026-01-05 14:00:00,21.85,24.29,60.1,1011.0,2.88
2026-01-05 15:00:00,23.27,26.65,55.2,1011.0,4.19
2026-01-05 16:00:00,22.84,26.01,60.6,1010.6,3.19
2026-01-05 17:00:00,23.9,26.51,58.3,1010.5,0.21
2026-01-05 18:00:00,20.62,23.26,66.8,1011.0,5.49
2026-01-05 19:00:00,19.63,21.53,60.5,1010.9,1.77
2026-01-05 20:00:00,17.87,20.12,64.3,1012.0,0.89
2026-01-05 21:00:00,15.45,17.23,64.4,1009.2,1.93
2026-01-05 22:00:00,15.89,17.67,66.4,1010.9,6.75
2026-01-05 23:00:00,14.35,15.06,72.9,1009.5,5.13
2026-01-06 00:00:00,13.44,14.56,76.1,1009.5,2.13
2026-01-06 01:00:00,11.47,12.84,70.7,1010.0,2.13
2026-01-06 02:00:00,13.1,13.17,77.2,1008.1,2.2
2026-01-06 03:00:00,11.03,11.17,82.7,1009.5,8.19
2026-01-06 04:00:00,13.17,13.34,74.8,1009.2,3.95
2026-01-06 05:00:00,15.35,14.81,78.9,1009.5,4.08
2026-01-06 06:00:00,13.98,13.86,67.7,1009.3,5.58
2026-01-06 07:00:00,15.68,15.59,62.7,1011.5,3.6
2026-01-06 08:00:00,17.68,17.88,57.1,1008.4,2.35
2026-01-06 09:00:00,18.64,18.63,72.0,1008.6,2.51
2026-01-06 10:00:00,19.14,19.97,67.1,1008.6,2.82
2026-01-06 11:00:00,21.55,23.05,59.9,1008.8,2.91
2026-01-06 12:00:00,21.47,23.93,61.7,1008.9,4.82
2026-01-06 13:00:00,23.15,25.68,52.1,1010.9,3.13
2026-01-06 14:00:00,22.09,25.64,71.6,1011.4,4.83
2026-01-06 15:00:00,23.7,25.74,57.6,1009.6,2.8
2026-01-06 16:00:00,21.07,24.24,61.4,1009.6,3.2
2026-01-06 17:00:00,20.31,23.12,65.7,1011.2,2.0
2026-01-06 18:00:00,19.8,23.76,65.2,1010.4,5.29
2026-01-06 19:00:00,16.53,18.55,68.8,1011.9,3.87
2026-01-06 20:00:00,15.96,17.72,64.6,1011.8,5.5
2026-01-06 21:00:00,15.08,16.67,72.2,1010.4,4.24
2026-01-06 22:00:00,11.11,11.42,85.3,1013.9,8.22
2026-01-06 23:00:00,11.1,11.99,82.6,1014.4,2.65
2026-01-07 00:00:00,10.01,10.37,85.4,1012.4,5.77
2026-01-07 01:00:00,9.63,10.17,75.5,1013.0,0.4
2026-01-07 02:00:00,7.62,7.96,76.1,1014.0,4.53
2026-01-07 03:00:00,7.56,8.59,80.5,1014.4,0.37
2026-01-07 04:00:00,9.44,9.77,78.6,1015.0,1.44
2026-01-07 05:00:00,10.03,9.38,82.9,1016.7,7.79
2026-01-07 06:00:00,11.05,10.26,67.5,1014.8,2.52
2026-01-07 07:00:00,12.4,12.59,81.6,1014.5,3.54
2026-01-07 08:00:00,12.96,12.3,72.3,1014.2,5.18
2026-01-07 09:00:00,15.07,16.62,67.8,1015.1,4.24
2026-01-07 10:00:00,16.41,17.93,62.8,1016.0,3.38
2026-01-07 11:00:00,16.69,17.61,59.2,1018.1,3.91
2026-01-07 12:00:00,19.57,20.13,67.3,1015.9,9.01
2026-01-07 13:00:00,18.92,21.68,64.5,1016.8,2.86
2026-01-07 14:00:00,17.67,19.86,59.5,1016.7,3.5
2026-01-07 15:00:00,18.83,22.07,57.8,1018.1,5.63
2026-01-07 16:00:00,16.82,18.51,65.6,1019.5,5.76
2026-01-07 17:00:00,17.18,19.52,75.1,1016.5,5.97
2026-01-07 18:00:00,16.16,18.81,67.0,1016.5,4.6
2026-01-07 19:00:00,13.06,15.58,65.4,1018.0,0.14
2026-01-07 20:00:00,12.87,14.86,72.0,1017.6,7.08
2026-01-07 21:00:00,10.83,13.16,74.9,1018.7,0.13
2026-01-07 22:00:00,9.68,10.63,64.5,1017.3,3.76
2026-01-07 23:00:00,9.28,10.4,78.3,1016.3,1.11
2026-01-08 00:00:00,6.61,7.49,81.4,1017.1,2.84
2026-01-08 01:00:00,5.61,6.37,87.6,1017.4,3.82
2026-01-08 02:00:00,5.31,5.88,93.8,1016.9,3.8
2026-01-08 03:00:00,5.61,4.84,89.7,1016.3,4.05
2026-01-08 04:00:00,6.84,5.68,80.9,1016.6,7.03
2026-01-08 05:00:00,8.19,8.66,74.7,1016.5,4.13
2026-01-08 06:00:00,9.45,9.4,91.2,1016.4,2.39
2026-01-08 07:00:00,11.42,10.87,75.7,1015.3,5.41
2026-01-08 08:00:00,12.41,13.48,74.0,1014.2,5.97
2026-01-08 09:00:00,15.22,15.74,69.5,1014.2,0.07
2026-01-08 10:00:00,15.41,16.93,70.4,1014.9,4.49
2026-01-08 11:00:00,19.16,20.4,63.0,1012.5,4.75
2026-01-08 12:00:00,18.58,21.4,61.8,1013.4,2.26
2026-01-08 13:00:00,18.13,21.13,62.6,1012.3,6.44
2026-01-08 14:00:00,18.32,20.43,64.9,1012.3,2.62
2026-01-08 15:00:00,19.51,22.6,60.5,1013.2,3.31
2026-01-08 16:00:00,18.52,21.55,61.2,1011.8,2.57
2026-01-08 17:00:00,18.49,22.01,65.3,1011.4,3.04
2026-01-08 18:00:00,17.23,19.3,65.4,1009.6,0.26
2026-01-08 19:00:00,15.53,18.44,76.7,1011.5,0.6
2026-01-08 20:00:00,13.55,16.44,58.9,1011.1,6.99
2026-01-08 21:00:00,11.65,12.54,80.5,1012.3,0.88
2026-01-08 22:00:00,11.25,12.13,81.9,1009.6,0.52
2026-01-08 23:00:00,11.25,11.22,65.3,1009.9,2.38
2026-01-09 00:00:00,9.98,10.63,75.8,1009.8,1.4
2026-01-09 01:00:00,8.4,9.28,78.0,1011.0,0.31
2026-01-09 02:00:00,9.53,10.57,71.2,1009.1,7.11
2026-01-09 03:00:00,10.1,10.04,73.5,1009.4,5.52
2026-01-09 04:00:00,9.87,10.6,72.1,1009.7,1.28
2026-01-09 05:00:00,11.84,10.72,83.5,1009.2,8.63
2026-01-09 06:00:00,13.19,11.92,77.4,1008.6,5.45
2026-01-09 07:00:00,13.86,13.73,78.1,1009.2,2.19
2026-01-09 08:00:00,16.79,17.16,70.9,1010.1,3.25
2026-01-09 09:00:00,18.67,19.1,58.9,1008.1,8.73
2026-01-09 10:00:00,20.69,20.26,58.8,1009.4,0.47
2026-01-09 11:00:00,22.06,23.21,61.9,1008.7,1.11
2026-01-09 12:00:00,21.22,22.02,54.6,1010.7,5.56
2026-01-09 13:00:00,22.3,24.65,62.6,1008.2,9.1
2026-01-09 14:00:00,23.79,26.27,55.6,1009.4,6.46
2026-01-09 15:00:00,23.7,25.64,55.1,1010.5,4.41
2026-01-09 16:00:00,23.21,25.55,61.2,1012.0,4.49
2026-01-09 17:00:00,25.02,27.08,57.2,1010.6,5.13
2026-01-09 18:00:00,21.23,23.84,58.9,1010.4,4.9
2026-01-09 19:00:00,20.3,23.37,67.8,1013.2,3.7
2026-01-09 20:00:00,18.66,20.33,59.1,1010.2,3.26
2026-01-09 21:00:00,16.91,19.16,70.2,1009.8,2.84
2026-01-09 22:00:00,14.72,15.99,73.4,1012.7,1.12
2026-01-09 23:00:00,14.36,15.08,69.4,1012.1,2.3
2026-01-10 00:00:00,12.19,12.93,75.9,1012.0,1.23
2026-01-10 01:00:00,12.01,11.84,68.2,1014.1,2.75
2026-01-10 02:00:00,11.59,11.39,79.7,1013.9,0.53
2026-01-10 03:00:00,12.21,11.39,73.3,1013.5,0.24
2026-01-10 04:00:00,14.55,15.48,68.1,1013.1,3.45
2026-01-10 05:00:00,12.1,11.83,79.6,1015.6,6.48
2026-01-10 06:00:00,15.32,14.65,66.0,1015.7,5.3
2026-01-10 07:00:00,14.85,14.88,63.2,1015.2,0.93
2026-01-10 08:00:00,17.22,17.29,58.9,1017.4,0.53
2026-01-10 09:00:00,19.92,20.24,65.7,1014.8,5.35
2026-01-10 10:00:00,20.43,21.61,55.5,1014.5,0.54
2026-01-10 11:00:00,20.64,22.29,70.3,1015.6,2.44
2026-01-10 12:00:00,21.75,23.02,49.5,1016.4,4.38
2026-01-10 13:00:00,23.32,24.92,66.0,1016.9,0.58
2026-01-10 14:00:00,22.24,24.34,60.2,1016.5,3.26
2026-01-10 15:00:00,22.64,23.75,58.1,1017.2,0.34
2026-01-10 16:00:00,21.73,23.47,57.2,1015.7,1.5
2026-01-10 17:00:00,20.05,23.57,64.4,1018.4,3.8
2026-01-10 18:00:00,20.86,24.5,61.0,1016.9,0.98
2026-01-10 19:00:00,18.02,20.37,71.0,1018.1,4.1
2026-01-10 20:00:00,14.16,16.76,71.8,1017.3,2.95
2026-01-10 21:00:00,14.18,16.32,72.0,1017.3,4.38
2026-01-10 22:00:00,11.86,15.3,72.9,1017.3,3.56
2026-01-10 23:00:00,11.64,13.51,74.8,1017.1,6.41
